Address,Volume,Number_of_Transactions,Number_of_Received_Transactions,Number_of_Sent_Transactions,Amount Received,Amount_Sent,Mean_of_Received,Mean_of_Sent,Stddev_of_Received,Stddev_of_Sent,Maximum_Amount_of_Sent_&_Received,Last_Balance
0xC960338B529e0353F570f62093Fd362B8FB55f0B,350544,4,2,2,175272,175272,87636.0,87636.0,66.0,66.0,87702,0
0x61343D955f34709fc29F2d7F5D6A78D68eea120E,4457912,2,1,1,2228956,2228956,2228956.0,2228956.0,0.0,0.0,2228956,0
0xF70619A78272f6b9255608799A08193B97F837a6,174222,2,1,1,87111,87111,87111.0,87111.0,0.0,0.0,87111,0
0x601E7A62481538FA974A8E983208553D2bE18a78,494382,2,1,1,247191,247191,247191.0,247191.0,0.0,0.0,247191,0
0x7832534214b5D679b4CcFA17B4f640cc0090d24b,277646,2,1,1,138823,138823,138823.0,138823.0,0.0,0.0,138823,0
0x1Bf651a3DffeDed866AF309ee307dE78235A0728,12544,1,1,0,12544,0,12544.0,0,0.0,0,12544,12544
0x36E058332aE39efaD2315776B9c844E30d07388B,452314,2,1,1,226157,226157,226157.0,226157.0,0.0,0.0,226157,0
0x5d0d5AAD7ee4949aCFc095FbFe2F2DB3B5b4f630,2489,1,1,0,2489,0,2489.0,0,0.0,0,2489,2489
0x524F912C655f8070A98bdCC2B031800b53ef91b7,1260792,2,1,1,630396,630396,630396.0,630396.0,0.0,0.0,630396,0
0x0C88C914d3576D65f891CA04247030473daCE02A,1276908,3,1,2,638454,638454,638454.0,319227.0,0.0,180773.0,638454,0
0xd8281f2B00B0Dc123FB92a84D18afd8edD64b22E,93930,2,1,1,46965,46965,46965.0,46965.0,0.0,0.0,46965,0
0x5Dc78044418aB23C9b744dFAcbebD6eD0f5Bf4a4,226414,2,1,1,113207,113207,113207.0,113207.0,0.0,0.0,113207,0
0x77D20F43B5aeB69a533E2E8A64020491D3e3d198,2009964,2,1,1,1004982,1004982,1004982.0,1004982.0,0.0,0.0,1004982,0
0xeD35AC9E77f0d52d3677Cf5B54E070b9Fa71f953,342318,2,1,1,171159,171159,171159.0,171159.0,0.0,0.0,171159,0
0x147C945e80A519242380C5d2d8F287b3e46522d3,432212,2,1,1,216106,216106,216106.0,216106.0,0.0,0.0,216106,0
0xb7394FE722D0D4fC6BB2C116030Dcf823A2761F3,3547098,2,1,1,1773549,1773549,1773549.0,1773549.0,0.0,0.0,1773549,0
0x5461Cde067Cf7d5e05973F09865732B01A4c0D44,1039948,2,1,1,519974,519974,519974.0,519974.0,0.0,0.0,519974,0
0x4ebf89c971B99BBf6CDa79825602897d387D1cE2,69478,2,1,1,34739,34739,34739.0,34739.0,0.0,0.0,34739,0
0xFdFb21FA1102Eb7Fa8E37d473cCaA4cE807C5EBC,260588,2,1,1,130294,130294,130294.0,130294.0,0.0,0.0,130294,0
0x9Ce3Ba852Cb8527342fDF6f33d65bFfe0BB65415,234538,2,1,1,117269,117269,117269.0,117269.0,0.0,0.0,117269,0
0x000000000c1500D6cf5A65167F131A53c82C1033,5606972,2,1,1,2803486,2803486,2803486.0,2803486.0,0.0,0.0,2803486,0
0x6602C14106Dd52106C5b71919720A7117BC7a8C5,7702202,3,1,2,3852202,3850000,3852202.0,1925000.0,0.0,1855000.0,3852202,2202
0x713A89041e2b28d6539D49966Ea908458a7d841d,33372,2,1,1,16686,16686,16686.0,16686.0,0.0,0.0,16686,0
0xc2cf55b33082eeaAa85f58b7bB71DdfF89a51ed5,355118,2,1,1,177559,177559,177559.0,177559.0,0.0,0.0,177559,0
0x37aD8e7D6A8Ef396fFff9Ce173D3C22bB29dca01,70200,2,1,1,35100,35100,35100.0,35100.0,0.0,0.0,35100,0
0x0c7bdA7282B86C0F5f99B6Cde8a1b2237B53b47F,38934,2,1,1,19467,19467,19467.0,19467.0,0.0,0.0,19467,0
0xBEeF44EA2f3009dB6d702214Abf5307aB976e343,289748,2,1,1,144874,144874,144874.0,144874.0,0.0,0.0,144874,0
0xA414B9308F399D1aA83eBD3b0aBa615E21DA2097,1056356,2,1,1,528178,528178,528178.0,528178.0,0.0,0.0,528178,0
0x27827023888B0B8CC48DE26F2410B567BA942Efb,11718,2,1,1,5859,5859,5859.0,5859.0,0.0,0.0,5859,0
0x2668951C5AbDfa80c6137114E157a9DDe87BaDE6,467604,2,1,1,233802,233802,233802.0,233802.0,0.0,0.0,233802,0
0xAF0EB1645BF38B86C4d73962d33F5e34399c3895,113862,3,1,2,56931,56931,56931.0,28465.5,0.0,3534.5,56931,0
0x44174180204708439CE8911D2909a0B419670fe0,262588,2,1,1,131294,131294,131294.0,131294.0,0.0,0.0,131294,0
